"Manufacturer Part Number","Manufacturer","SymbolName","SymbolLibrary","FootprintName","FootprintLibrary","Package","Power Rating (mW)","Value","Tolerance","Temperature Coefficient","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","ComponentLink1Description","ComponentLink1URL"
"0402WGF0000TCE","UNI-ROYAL(Uniroyal Elec)","__template_resistor","symbols/resistor.SchLib","R0402","footprints/resistor.PcbLib","0402","62.5","0m","","","","","LCSC","C17168","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0402WGF0000TCE_C17168.pdf"
"0603WAF0000T5E","UNI-ROYAL(Uniroyal Elec)","__template_resistor","symbols/resistor.SchLib","R0603","footprints/resistor.PcbLib","0603","100","0m","","","","","LCSC","C21189","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF0000T5E_C21189.pdf"
"0805W8F0000T5E","UNI-ROYAL(Uniroyal Elec)","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","125","0m","","","","","LCSC","C17477","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F0000T5E_C17477.pdf"
"1206W4F0000T5E","UNI-ROYAL(Uniroyal Elec)","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","250","0m","","","","","LCSC","C17888","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-1206W4F0000T5E_C17888.pdf"
"PA2512FKM7T0U5E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","0.5m","1%","±75ppm/℃","","","LCSC","C3033267","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2206171715_YAGEO-PA2512FKM7T0U5E_C3033267.pdf"
"CRF0805-FZ-R001ELF","BOURNS","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","1m","1%","±50ppm/℃","","","LCSC","C6145236","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312080551_BOURNS-CRF0805-FZ-R001ELF_C6145236.pdf"
"PA1206FRM070R001L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","250","1m","1%","±75ppm/℃","","","LCSC","C4258679","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2404111532_YAGEO-PA1206FRM070R001L_C4258679.pdf"
"PA1206FRF7W0R001L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","500","1m","1%","±100ppm/℃","","","LCSC","C914836","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011301910_YAGEO-PA1206FRF7W0R001L_C914836.pdf"
"PA1206FRF470R001L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","1m","1%","±100ppm/℃","","","LCSC","C728283","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011301910_YAGEO-PA1206FRF470R001L_C728283.pdf"
"PA2512FKF070R001E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","1000","1m","1%","±100ppm/℃","","","LCSC","C875586","Datasheet","https://datasheet.lcsc.com/lcsc/2210201630_YAGEO-PA2512FKF070R001E_C875586.pdf"
"LR12FTDSR001","Viking Tech","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","1m","1%","±50ppm/℃","","","LCSC","C2913006","Datasheet","https://datasheet.lcsc.com/lcsc/2110281830_Viking-Tech-LR12FTDSR001_C2913006.pdf"
"CRE2512-FZ-R001E-3","BOURNS","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","1m","1%","±50ppm/℃","","","LCSC","C840615","Datasheet","https://datasheet.lcsc.com/lcsc/2211030130_BOURNS-CRE2512-FZ-R001E-3_C840615.pdf"
"CSS2H-2512R-1L00F","BOURNS","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","5000","1m","1%","±50ppm/℃","","","LCSC","C4175647","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2401221722_BOURNS-CSS2H-2512R-1L00F_C4175647.pdf"
"WFCP06032L000FE66","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R0603","footprints/resistor.PcbLib","0603","500","2m","1%","±100ppm/℃","","","LCSC","C4077045","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312130953_Vishay-Intertech-WFCP06032L000FE66_C4077045.pdf"
"WW08RR002FTL","Walsin Tech Corp","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","2m","1%","±70ppm/℃","","","LCSC","C2991348","Datasheet","https://datasheet.lcsc.com/lcsc/2204131800_Walsin-Tech-Corp-WW08RR002FTL_C2991348.pdf"
"LMJ12MF1P0R002","prosemi","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","2m","1%","±50ppm/℃","","","LCSC","C2937385","Datasheet","https://datasheet.lcsc.com/lcsc/2201131730_prosemi-LMJ12MF1P0R002_C2937385.pdf"
"PA2512FKE7W0R002E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","2m","1%","±50ppm/℃","","","LCSC","C728306","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009261536_YAGEO-PA2512FKE7W0R002E_C728306.pdf"
"PA2512FKF7T0R002E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","2m","1%","±100ppm/℃","","","LCSC","C728320","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2010041434_YAGEO-PA2512FKF7T0R002E_C728320.pdf"
"PA0805FRE470R003L","YAGEO","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","3m","1%","±50ppm/℃","","","LCSC","C728266","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011301910_YAGEO-PA0805FRE470R003L_C728266.pdf"
"WW08DR003FTL","Walsin Tech Corp","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","750","3m","1%","±100ppm/℃","","","LCSC","C880880","Datasheet","https://datasheet.lcsc.com/lcsc/2202141730_Walsin-Tech-Corp-WW08DR003FTL_C880880.pdf"
"PA1206FRE470R003L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","3m","1%","±50ppm/℃","","","LCSC","C7324246","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312272158_YAGEO-PA1206FRE470R003L_C7324246.pdf"
"PA2512FKF070R003E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","1000","3m","1%","±100ppm/℃","","","LCSC","C875587","Datasheet","https://datasheet.lcsc.com/lcsc/2210201630_YAGEO-PA2512FKF070R003E_C875587.pdf"
"PA2512FKE7W0R003E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","3m","1%","±50ppm/℃","","","LCSC","C728307","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011270939_YAGEO-PA2512FKE7W0R003E_C728307.pdf"
"LR123WF300NT4E","UNI-ROYAL(Uniroyal Elec)","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","3m","1%","±50ppm/℃","","","LCSC","C2941089","Datasheet","https://datasheet.lcsc.com/lcsc/2204181745_UNI-ROYAL-Uniroyal-Elec-LR123WF300NT4E_C2941089.pdf"
"WSLF25123L000FEA","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","4000","3m","1%","±70ppm/℃","","","LCSC","C844702","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312131902_Vishay-Intertech-WSLF25123L000FEA_C844702.pdf"
"SMR12M1FR004T","SART(Nanjing Sart Tech)","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","4m","1%","±50ppm/℃","","","LCSC","C2692041","Datasheet","https://datasheet.lcsc.com/lcsc/2201121130_SART-Nanjing-Sart-Tech-SMR12M1FR004T_C2692041.pdf"
"PA2512FKF070R004E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","1000","4m","1%","±100ppm/℃","","","LCSC","C728316","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2010221004_YAGEO-PA2512FKF070R004E_C728316.pdf"
"LMP25MF2P0R004S","prosemi","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","4m","1%","±50ppm/℃","","","LCSC","C2937401","Datasheet","https://datasheet.lcsc.com/lcsc/2201131730_prosemi-LMP25MF2P0R004S_C2937401.pdf"
"CRE2512-FZ-R004E-3","BOURNS","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","4m","1%","±50ppm/℃","","","LCSC","C913266","Datasheet","https://datasheet.lcsc.com/lcsc/2211030000_BOURNS-CRE2512-FZ-R004E-3_C913266.pdf"
"PA0603FRE570R005L","YAGEO","__template_resistor","symbols/resistor.SchLib","R0603","footprints/resistor.PcbLib","0603","500","5m","1%","±50ppm/℃","","","LCSC","C5240695","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2211010930_YAGEO-PA0603FRE570R005L_C5240695.pdf"
"PE0805FRF470R005Z","YAGEO","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","5m","1%","±100ppm/℃","","","LCSC","C5198288","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2210171700_YAGEO-PE0805FRF470R005Z_C5198288.pdf"
"MFG06KR005FT","FH (Guangdong Fenghua Advanced Tech)","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","500","5m","1%","±100ppm/℃","","","LCSC","C2991636","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2204111630_FH--Guangdong-Fenghua-Advanced-Tech-MFG06KR005FT_C2991636.pdf"
"PA1206FRF470R005Z","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","5m","1%","±100ppm/℃","","","LCSC","C4315394","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2404121215_YAGEO-PA1206FRF470R005Z_C4315394.pdf"
"PA2512FKE070R005E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","1000","5m","1%","±50ppm/℃","","","LCSC","C914837","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011202108_YAGEO-PA2512FKE070R005E_C914837.pdf"
"LMP25MF2P0R005","prosemi","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","5m","1%","±50ppm/℃","","","LCSC","C2937402","Datasheet","https://datasheet.lcsc.com/lcsc/2201131730_prosemi-LMP25MF2P0R005_C2937402.pdf"
"PA2512FKF7T0R005E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","5m","1%","±100ppm/℃","","","LCSC","C728323","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009261536_YAGEO-PA2512FKF7T0R005E_C728323.pdf"
"WFCP06036L000FE66","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R0603","footprints/resistor.PcbLib","0603","500","6m","1%","±100ppm/℃","","","LCSC","C3926013","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312121708_Vishay-Intertech-WFCP06036L000FE66_C3926013.pdf"
"PA0805FRE470R006L","YAGEO","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","6m","1%","±50ppm/℃","","","LCSC","C728268","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2010281236_YAGEO-PA0805FRE470R006L_C728268.pdf"
"PE1206FRF470R006L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","6m","1%","±100ppm/℃","","","LCSC","C875615","Datasheet","https://datasheet.lcsc.com/lcsc/2203031730_YAGEO-PE1206FRF470R006L_C875615.pdf"
"PA2512FKF7W0R006E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","6m","1%","±100ppm/℃","","","LCSC","C728340","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2010041434_YAGEO-PA2512FKF7W0R006E_C728340.pdf"
"PA2512FKF7T0R006E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","6m","1%","±100ppm/℃","","","LCSC","C728325","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2010311304_YAGEO-PA2512FKF7T0R006E_C728325.pdf"
"WSL20107L000FEA","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R2010","footprints/resistor.PcbLib","2010","500","7m","1%","±75ppm/℃","","","LCSC","C4321832","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312131151_Vishay-Intertech-WSL20107L000FEA_C4321832.pdf"
"PMR50HZPFU7L00","ROHM Semicon","__template_resistor","symbols/resistor.SchLib","R2010","footprints/resistor.PcbLib","2010","1000","7m","1%","±100ppm/℃","","","LCSC","C3018929","Datasheet","https://datasheet.lcsc.com/lcsc/2207131800_ROHM-Semicon-PMR50HZPFU7L00_C3018929.pdf"
"PE2512FKF7W0R007L","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","7m","1%","±100ppm/℃","","","LCSC","C875753","Datasheet","https://datasheet.lcsc.com/lcsc/2311211101_YAGEO-PE2512FKF7W0R007L_C875753.pdf"
"PA2512FKF7T0R007E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","7m","1%","±100ppm/℃","","","LCSC","C728326","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2205121016_YAGEO-PA2512FKF7T0R007E_C728326.pdf"
"WSL25127L500FEA","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","1000","7.5m","1%","±75ppm/℃","","","LCSC","C4166504","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312131038_Vishay-Intertech-WSL25127L500FEA_C4166504.pdf"
"PA2512FKF7W7U5E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","7.5m","1%","±100ppm/℃","","","LCSC","C6141177","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2404181037_YAGEO-PA2512FKF7W7U5E_C6141177.pdf"
"PA0805FRF470R008L","YAGEO","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","8m","1%","±100ppm/℃","","","LCSC","C728272","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011301910_YAGEO-PA0805FRF470R008L_C728272.pdf"
"PA1206FRF470R008L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","8m","1%","±100ppm/℃","","","LCSC","C728288","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011301910_YAGEO-PA1206FRF470R008L_C728288.pdf"
"WSL20108L000FEA","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R2010","footprints/resistor.PcbLib","2010","500","8m","1%","±75ppm/℃","","","LCSC","C843880","Datasheet","https://datasheet.lcsc.com/lcsc/2210190530_Vishay-Intertech-WSL20108L000FEA_C843880.pdf"
"PE2512FKE070R008L","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","1000","8m","1%","±50ppm/℃","","","LCSC","C2075410","Datasheet","https://datasheet.lcsc.com/lcsc/2311211101_YAGEO-PE2512FKE070R008L_C2075410.pdf"
"PA2512FKF7W0R008E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","8m","1%","±100ppm/℃","","","LCSC","C728343","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009191609_YAGEO-PA2512FKF7W0R008E_C728343.pdf"
"LMJ12MF1P0R009","prosemi","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","9m","1%","±50ppm/℃","","","LCSC","C2937390","Datasheet","https://datasheet.lcsc.com/lcsc/2201131730_prosemi-LMJ12MF1P0R009_C2937390.pdf"
"PA2512FKF7W0R009E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","9m","1%","±100ppm/℃","","","LCSC","C728344","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011221205_YAGEO-PA2512FKF7W0R009E_C728344.pdf"
"TLRP3A30DR009FTE","TE Connectivity","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","9m","1%","±50ppm/℃","","","LCSC","C4002847","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2404090932_TE-Connectivity-TLRP3A30DR009FTE_C4002847.pdf"
"PE0402FRF470R01L","YAGEO","__template_resistor","symbols/resistor.SchLib","R0402","footprints/resistor.PcbLib","0402","250","10m","1%","±100ppm/℃","","","LCSC","C851613","Datasheet","https://datasheet.lcsc.com/lcsc/2311211101_YAGEO-PE0402FRF470R01L_C851613.pdf"
"PE0603FRM070R01L","YAGEO","__template_resistor","symbols/resistor.SchLib","R0603","footprints/resistor.PcbLib","0603","100","10m","1%","±75ppm/℃","","","LCSC","C858575","Datasheet","https://datasheet.lcsc.com/lcsc/2201242130_YAGEO-PE0603FRM070R01L_C858575.pdf"
"PA0603FRE570R01L","YAGEO","__template_resistor","symbols/resistor.SchLib","R0603","footprints/resistor.PcbLib","0603","500","10m","1%","±50ppm/℃","","","LCSC","C5444291","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304120930_YAGEO-PA0603FRE570R01L_C5444291.pdf"
"WSL0805R0100FEA","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","125","10m","1%","±75ppm/℃","","","LCSC","C844275","Datasheet","https://datasheet.lcsc.com/lcsc/2210190530_Vishay-Intertech-WSL0805R0100FEA_C844275.pdf"
"WSL0805R0100FEA18","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","250","10m","1%","±75ppm/℃","","","LCSC","C844478","Datasheet","https://datasheet.lcsc.com/lcsc/2210190530_Vishay-Intertech-WSL0805R0100FEA18_C844478.pdf"
"PE0805FRF470R01L","YAGEO","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","10m","1%","±100ppm/℃","","","LCSC","C858586","Datasheet","https://datasheet.lcsc.com/lcsc/2112231430_YAGEO-PE0805FRF470R01L_C858586.pdf"
"PE1206FRF070R01L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","250","10m","1%","±100ppm/℃","","","LCSC","C875597","Datasheet","https://datasheet.lcsc.com/lcsc/2112151030_YAGEO-PE1206FRF070R01L_C875597.pdf"
"MFJ06HR010FT","FH(Guangdong Fenghua Advanced Tech)","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","10m","1%","±50ppm/℃","","","LCSC","C2961483","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2204111630_FH--Guangdong-Fenghua-Advanced-Tech-MFJ06HR010FT_C2961483.pdf"
"WSL2010R0100FEA","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R2010","footprints/resistor.PcbLib","2010","500","10m","1%","±75ppm/℃","","","LCSC","C844897","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011031038_Vishay-Intertech-WSL2010R0100FEA_C844897.pdf"
"PE2512FKM070R01L","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","1000","10m","1%","±75ppm/℃","","","LCSC","C5824583","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2404161039_YAGEO-PE2512FKM070R01L_C5824583.pdf"
"MGL12KR010FT","FH (Guangdong Fenghua Advanced Tech)","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","10m","1%","±100ppm/℃","","","LCSC","C2961479","Datasheet","https://datasheet.lcsc.com/lcsc/2202090930_FH--Guangdong-Fenghua-Advanced-Tech-MGL12KR010FT_C2961479.pdf"
"CRA2512-FZ-R010ELF","BOURNS","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","10m","1%","±50ppm/℃","","","LCSC","C840621","Datasheet","https://datasheet.lcsc.com/lcsc/2211030130_BOURNS-CRA2512-FZ-R010ELF_C840621.pdf"
"ERJ-8CWFR011V","PANASONIC","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","11m","1%","±75ppm/℃","","","LCSC","C2079803","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410010232_PANASONIC-ERJ-8CWFR011V_C2079803.pdf"
"PE1206FRM470R012L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","12m","1%","±75ppm/℃","","","LCSC","C875666","Datasheet","https://datasheet.lcsc.com/lcsc/2311211101_YAGEO-PE1206FRM470R012L_C875666.pdf"
"PA2512FKF070R012E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","1000","12m","1%","±100ppm/℃","","","LCSC","C914838","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2011202108_YAGEO-PA2512FKF070R012E_C914838.pdf"
"PA2512FKF7T0R012E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","12m","1%","±100ppm/℃","","","LCSC","C728329","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2010221004_YAGEO-PA2512FKF7T0R012E_C728329.pdf"
"PE1206FRM470R015L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","15m","1%","±75ppm/℃","","","LCSC","C875667","Datasheet","https://datasheet.lcsc.com/lcsc/2203031730_YAGEO-PE1206FRM470R015L_C875667.pdf"
"PA2512FKE7W0R015E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","15m","1%","±50ppm/℃","","","LCSC","C728308","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2008281035_YAGEO-PA2512FKE7W0R015E_C728308.pdf"
"PA2512FKE7T0R015E","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","3000","15m","1%","±50ppm/℃","","","LCSC","C728300","Datasheet","https://datasheet.lcsc.com/lcsc/2212062230_YAGEO-PA2512FKE7T0R015E_C728300.pdf"
"WSR3R0150FEA","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R4527","footprints/resistor.PcbLib","4527","3000","15m","1%","±75ppm/℃","","","LCSC","C844092","Datasheet","https://datasheet.lcsc.com/lcsc/2210190530_Vishay-Intertech-WSR3R0150FEA_C844092.pdf"
"ERJ-6CWFR016V","PANASONIC","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","16m","1%","±75ppm/℃","","","LCSC","C2075258","Datasheet","https://datasheet.lcsc.com/lcsc/2304140030_PANASONIC-ERJ-6CWFR016V_C2075258.pdf"
"WSL2512R0160FEA18","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","16m","1%","±75ppm/℃","","","LCSC","C4189531","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2312131050_Vishay-Intertech-WSL2512R0160FEA18_C4189531.pdf"
"ERJ-6CWFR018V","PANASONIC","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","18m","1%","±75ppm/℃","","","LCSC","C4024138","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2404091102_PANASONIC-ERJ-6CWFR018V_C4024138.pdf"
"ERJ-8CWFR018V","PANASONIC","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","18m","1%","±75ppm/℃","","","LCSC","C2079045","Datasheet","https://datasheet.lcsc.com/lcsc/2304140030_PANASONIC-ERJ-8CWFR018V_C2079045.pdf"
"PE2512FKE7W0R018L","YAGEO","__template_resistor","symbols/resistor.SchLib","R2512","footprints/resistor.PcbLib","2512","2000","18m","1%","±50ppm/℃","","","LCSC","C875719","Datasheet","https://datasheet.lcsc.com/lcsc/2111120930_YAGEO-PE2512FKE7W0R018L_C875719.pdf"
"PE0805FRE470R02Z","YAGEO","__template_resistor","symbols/resistor.SchLib","R0805","footprints/resistor.PcbLib","0805","500","20m","1%","±50ppm/℃","","","LCSC","C2935257","Datasheet","https://datasheet.lcsc.com/lcsc/2311211101_YAGEO-PE0805FRE470R02Z_C2935257.pdf"
"FCF06FT-R020","PSA(Prosperity Dielectrics)","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","250","20m","1%","±100ppm/℃","","","LCSC","C335244","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_PSA-Prosperity-Dielectrics-FCF06FT-R020_C335244.pdf"
"WSL1206R0200FEA18","Vishay Intertech","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","500","20m","1%","±75ppm/℃","","","LCSC","C844281","Datasheet","https://datasheet.lcsc.com/lcsc/2206282015_Vishay-Intertech-WSL1206R0200FEA18_C844281.pdf"
"PE1206FRF470R02L","YAGEO","__template_resistor","symbols/resistor.SchLib","R1206","footprints/resistor.PcbLib","1206","1000","20m","1%","±100ppm/℃","","","LCSC","C164156","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811101614_YAGEO-PE1206FRF470R02L_C164156.pdf"
"PE2010FKE070R02L","YAGEO","__template_resistor","symbols/resistor.SchLib","R2010","footprints/resistor.PcbLib","2010","500","20m","1%","±50ppm/℃","","","LCSC","C4134927","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2311211101_YAGEO-PE2010FKE070R02L_C4134927.pdf"
