"Manufacturer Part Number","Manufacturer","SymbolName","SymbolLibrary","FootprintName","FootprintLibrary","Package","Voltage Rating","Dielectric","Capacitance","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","ComponentLink1Description","ComponentLink1URL"
"GJM1555C1HR10WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.1p","","","LCSC","C161338","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410010330_Murata-Electronics-GJM1555C1HR10WB01D_C161338.pdf"
"0603CG0R1C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.1p","","","LCSC","C1322361","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG0R1C500NT_C1322361.pdf"
"CQ0402BRNPO9BNR10","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.1p","","","LCSC","C1855094","Datasheet","https://datasheet.lcsc.com/lcsc/2201271230_YAGEO-CQ0402BRNPO9BNR10_C1855094.pdf"
"RF18N0R1B500CT","Walsin Tech Corp","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","NP0","0.1p","","","LCSC","C304680","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Walsin-Tech-Corp-RF18N0R1B500CT_C304680.pdf"
"GJM1555C1HR15RB12D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.15p","","","LCSC","C3884427","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111442_Murata-Electronics-GJM1555C1HR15RB12D_C3884427.pdf"
"GRM0335C1ER20WA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","C0G","0.2p","","","LCSC","C3833435","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111458_Murata-Electronics-GRM0335C1ER20WA01D_C3833435.pdf"
"0201N0R2B250CT","Walsin Tech Corp","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","NP0","0.2p","","","LCSC","C880830","Datasheet","https://datasheet.lcsc.com/lcsc/2304140030_Walsin-Tech-Corp-0201N0R2B250CT_C880830.pdf"
"GRM0335C1HR20BA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","C0G","0.2p","","","LCSC","C161446","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081547_Murata-Electronics-GRM0335C1HR20BA01D_C161446.pdf"
"GJM1555C1HR20BB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.2p","","","LCSC","C161339","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081521_Murata-Electronics-GJM1555C1HR20BB01D_C161339.pdf"
"0603CG0R2C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.2p","","","LCSC","C79834","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG0R2C500NT_C79834.pdf"
"0805CG0R2C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0805","footprints/capacitor.PcbLib","0805","50V","C0G","0.2p","","","LCSC","C1322376","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0805CG0R2C500NT_C1322376.pdf"
"CQ0402ARNPO9BNR20","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.2p","","","LCSC","C326067","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2409271603_YAGEO-CQ0402ARNPO9BNR20_C326067.pdf"
"GJM0335C2AR20WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","100V","C0G","0.2p","","","LCSC","C3900296","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111805_Murata-Electronics-GJM0335C2AR20WB01D_C3900296.pdf"
"GQM1875C2ER20WB12D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","250V","C0G","0.2p","","","LCSC","C3860697","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111750_Murata-Electronics-GQM1875C2ER20WB12D_C3860697.pdf"
"0603CGR25C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.25p","","","LCSC","C313087","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CGR25C500NT_C313087.pdf"
"0805CGR25C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0805","footprints/capacitor.PcbLib","0805","50V","C0G","0.25p","","","LCSC","C140362","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0805CGR25C500NT_C140362.pdf"
"GJM0335C1ER30WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","C0G","0.3p","","","LCSC","C161289","Datasheet","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GJM0335C1ER30WB01D_C161289.pdf"
"V0R3B0201HQC250NAT","VIIYONG","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","HQC","0.3p","","","LCSC","C2975893","Datasheet","https://datasheet.lcsc.com/lcsc/2202181430_VIIYONG-V0R3B0201HQC250NAT_C2975893.pdf"
"GJM0335C1HR30WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","C0G","0.3p","","","LCSC","C3904589","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111807_Murata-Electronics-GJM0335C1HR30WB01D_C3904589.pdf"
"GJM1555C1HR30WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.3p","","","LCSC","C76909","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081710_Murata-Electronics-GJM1555C1HR30WB01D_C76909.pdf"
"0603CG0R3B500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.3p","","","LCSC","C507054","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG0R3B500NT_C507054.pdf"
"RF03N0R3B500CT","Walsin Tech Corp","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","NP0","0.3p","","","LCSC","C172865","Datasheet","https://datasheet.lcsc.com/lcsc/2110281730_Walsin-Tech-Corp-RF03N0R3B500CT_C172865.pdf"
"CQ0402BRNPO9BNR30","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.3p","","","LCSC","C723570","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2008171333_YAGEO-CQ0402BRNPO9BNR30_C723570.pdf"
"0603N0R3C500CT","Walsin Tech Corp","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","NP0","0.3p","","","LCSC","C296043","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Walsin-Tech-Corp-0603N0R3C500CT_C296043.pdf"
"GRM0335C1ER40WA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","C0G","0.4p","","","LCSC","C710805","Datasheet","https://datasheet.lcsc.com/lcsc/2308111631_Murata-Electronics-GRM0335C1ER40WA01D_C710805.pdf"
"GRM0335C1HR40WA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","C0G","0.4p","","","LCSC","C385011","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2108182030_Murata-Electronics-GRM0335C1HR40WA01D_C385011.pdf"
"GJM1555C1HR40BB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.4p","","","LCSC","C76910","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081611_Murata-Electronics-GJM1555C1HR40BB01D_C76910.pdf"
"0603CG0R4C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.4p","","","LCSC","C46430","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG0R4C500NT_C46430.pdf"
"RF03N0R4B500CT","Walsin Tech Corp","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","NP0","0.4p","","","LCSC","C384705","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1912111437_Walsin-Tech-Corp-RF03N0R4B500CT_C384705.pdf"
"CQ0402BRNPO9BNR40","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.4p","","","LCSC","C1855078","Datasheet","https://datasheet.lcsc.com/lcsc/2201271230_YAGEO-CQ0402BRNPO9BNR40_C1855078.pdf"
"0603CGR47C500NT","FH (Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.47p","","","LCSC","C3008309","Datasheet","https://datasheet.lcsc.com/lcsc/2204261415_FH--Guangdong-Fenghua-Advanced-Tech-0603CGR47C500NT_C3008309.pdf"
"CC0402CRNPO9BNR47","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.47p","","","LCSC","C526975","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2006031834_YAGEO-CC0402CRNPO9BNR47_C526975.pdf"
"CC0603BRNPO9BNR47","YAGEO","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","NP0","0.47p","","","LCSC","C519120","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2005141203_YAGEO-CC0603BRNPO9BNR47_C519120.pdf"
"GRM0335C1ER50WA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","C0G","0.5p","","","LCSC","C710806","Datasheet","https://datasheet.lcsc.com/lcsc/2201111430_Murata-Electronics-GRM0335C1ER50WA01D_C710806.pdf"
"0402CG0R5C250NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","25V","C0G","0.5p","","","LCSC","C285134","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG0R5C250NT_C285134.pdf"
"RF03N0R5B250CT","Walsin Tech Corp","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","NP0","0.5p","","","LCSC","C172836","Datasheet","https://datasheet.lcsc.com/lcsc/2110281730_Walsin-Tech-Corp-RF03N0R5B250CT_C172836.pdf"
"GRM0335C1HR50BA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","C0G","0.5p","","","LCSC","C85920","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410010301_Murata-Electronics-GRM0335C1HR50BA01D_C85920.pdf"
"GJM1555C1HR50WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.5p","","","LCSC","C76912","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081611_Murata-Electronics-GJM1555C1HR50WB01D_C76912.pdf"
"0603CG0R5C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.5p","","","LCSC","C1633","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG0R5C500NT_C1633.pdf"
"0805CG0R5C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0805","footprints/capacitor.PcbLib","0805","50V","C0G","0.5p","","","LCSC","C1784","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0805CG0R5C500NT_C1784.pdf"
"1206CG0R5C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C1206","footprints/capacitor.PcbLib","1206","50V","C0G","0.5p","","","LCSC","C1882","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-1206CG0R5C500NT_C1882.pdf"
"C0603NP0508BGTS","Darfon Elec","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","NP0","0.5p","","","LCSC","C311882","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Darfon-Elec-C0603NP0508BGTS_C311882.pdf"
"CC0402BRNPO9BNR50","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.5p","","","LCSC","C309456","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-CC0402BRNPO9BNR50_C309456.pdf"
"CC0603BRNPO9BNR50","YAGEO","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","NP0","0.5p","","","LCSC","C134254","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-CC0603BRNPO9BNR50_C134254.pdf"
"CC0805CRNPO9BNR50","YAGEO","__template_cap","symbols/capacitor.SchLib","C0805","footprints/capacitor.PcbLib","0805","50V","NP0","0.5p","","","LCSC","C519947","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2005141203_YAGEO-CC0805CRNPO9BNR50_C519947.pdf"
"GJM0335C1HR50BB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","X7R","0.5p","","","LCSC","C237423","Datasheet","https://datasheet.lcsc.com/lcsc/2109101130_Murata-Electronics-GJM0335C1HR50BB01D_C237423.pdf"
"GQM1875C2ER50WB12D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","250V","C0G","0.5p","","","LCSC","C1864350","Datasheet","https://datasheet.lcsc.com/lcsc/2201271800_Murata-Electronics-GQM1875C2ER50WB12D_C1864350.pdf"
"0603CGR56C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.56p","","","LCSC","C501850","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CGR56C500NT_C501850.pdf"
"CC0402BRNPO9BNR56","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.56p","","","LCSC","C541331","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2006151111_YAGEO-CC0402BRNPO9BNR56_C541331.pdf"
"CC0603BRNPO9BNR56","YAGEO","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","NP0","0.56p","","","LCSC","C519121","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2006011834_YAGEO-CC0603BRNPO9BNR56_C519121.pdf"
"CC0805CRNPO9BNR56","YAGEO","__template_cap","symbols/capacitor.SchLib","C0805","footprints/capacitor.PcbLib","0805","50V","NP0","0.56p","","","LCSC","C519948","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2007231534_YAGEO-CC0805CRNPO9BNR56_C519948.pdf"
"GJM0335C1HR60WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","C0G","0.6p","","","LCSC","C710747","Datasheet","https://datasheet.lcsc.com/lcsc/2210190600_Murata-Electronics-GJM0335C1HR60WB01D_C710747.pdf"
"GJM1555C1HR60BB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.6p","","","LCSC","C76913","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-GJM1555C1HR60BB01D_C76913.pdf"
"UVK105CH0R6BW-F","Taiyo Yuden","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0H","0.6p","","","LCSC","C92859","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2211282300_Taiyo-Yuden-UVK105CH0R6BW-F_C92859.pdf"
"RT15N0R6B500CT","Walsin Tech Corp","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.6p","","","LCSC","C2918541","Datasheet","https://datasheet.lcsc.com/lcsc/2111171830_Walsin-Tech-Corp-RT15N0R6B500CT_C2918541.pdf"
"CC0603BRNPO9BNR60","YAGEO","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","NP0","0.6p","","","LCSC","C519122","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2007161233_YAGEO-CC0603BRNPO9BNR60_C519122.pdf"
"CQ0402ARNPO0BNR60","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","100V","NP0","0.6p","","","LCSC","C1855146","Datasheet","https://datasheet.lcsc.com/lcsc/2201271230_YAGEO-CQ0402ARNPO0BNR60_C1855146.pdf"
"0603CGR68C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.68p","","","LCSC","C501851","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CGR68C500NT_C501851.pdf"
"CC0402BRNPO9BNR68","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.68p","","","LCSC","C327223","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-CC0402BRNPO9BNR68_C327223.pdf"
"CC0603CRNPO9BNR68","YAGEO","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","NP0","0.68p","","","LCSC","C519380","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2007231533_YAGEO-CC0603CRNPO9BNR68_C519380.pdf"
"CC0805BRNPO9BNR68","YAGEO","__template_cap","symbols/capacitor.SchLib","C0805","footprints/capacitor.PcbLib","0805","50V","NP0","0.68p","","","LCSC","C520000","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2008191833_YAGEO-CC0805BRNPO9BNR68_C520000.pdf"
"GRM0335C1ER70WA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","C0G","0.7p","","","LCSC","C1853201","Datasheet","https://datasheet.lcsc.com/lcsc/2308111631_Murata-Electronics-GRM0335C1ER70WA01D_C1853201.pdf"
"CC0201BRNPO8BNR70","YAGEO","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","NP0","0.7p","","","LCSC","C5182416","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2212291709_YAGEO-CC0201BRNPO8BNR70_C5182416.pdf"
"GRM0335C1HR70BA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","C0G","0.7p","","","LCSC","C237538","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410010301_Murata-Electronics-GRM0335C1HR70BA01D_C237538.pdf"
"GJM1555C1HR70WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.7p","","","LCSC","C397301","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1912111437_Murata-Electronics-GJM1555C1HR70WB01D_C397301.pdf"
"0603CG0R7C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.7p","","","LCSC","C501844","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG0R7C500NT_C501844.pdf"
"CC0402CRNPO9BNR70","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.7p","","","LCSC","C541353","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2006151111_YAGEO-CC0402CRNPO9BNR70_C541353.pdf"
"0603N0R7C500CT","Walsin Tech Corp","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","NP0","0.7p","","","LCSC","C237159","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Walsin-Tech-Corp-0603N0R7C500CT_C237159.pdf"
"CQ0402BRNPO0BNR70","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","100V","NP0","0.7p","","","LCSC","C1855060","Datasheet","https://datasheet.lcsc.com/lcsc/2201271230_YAGEO-CQ0402BRNPO0BNR70_C1855060.pdf"
"GQM2195C2ER70WB12D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0805","footprints/capacitor.PcbLib","0805","250V","C0G","0.7p","","","LCSC","C3908487","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2308111808_Murata-Electronics-GQM2195C2ER70WB12D_C3908487.pdf"
"GJM0335C1ER75WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","C0G","0.75p","","","LCSC","C237289","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1912111437_Murata-Electronics-GJM0335C1ER75WB01D_C237289.pdf"
"0201CGR75B500NT","FH (Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","C0G","0.75p","","","LCSC","C284994","Datasheet","https://datasheet.lcsc.com/lcsc/2204121100_FH--Guangdong-Fenghua-Advanced-Tech-0201CGR75B500NT_C284994.pdf"
"0402CGR75C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.75p","","","LCSC","C83711","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CGR75C500NT_C83711.pdf"
"0603CGR75B500NT","FH (Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","C0G","0.75p","","","LCSC","C2836765","Datasheet","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CGR75B500NT_C2836765.pdf"
"0805CGR75C500NT","FH(Guangdong Fenghua Advanced Tech)","__template_cap","symbols/capacitor.SchLib","C0805","footprints/capacitor.PcbLib","0805","50V","C0G","0.75p","","","LCSC","C502150","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0805CGR75C500NT_C502150.pdf"
"CC0402BRNPO9BNR75","YAGEO","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","NP0","0.75p","","","LCSC","C277523","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-CC0402BRNPO9BNR75_C277523.pdf"
"CC0603CRNPO9BNR75","YAGEO","__template_cap","symbols/capacitor.SchLib","C0603","footprints/capacitor.PcbLib","0603","50V","NP0","0.75p","","","LCSC","C309465","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_YAGEO-CC0603CRNPO9BNR75_C309465.pdf"
"CC0805CRNPO9BNR75","YAGEO","__template_cap","symbols/capacitor.SchLib","C0805","footprints/capacitor.PcbLib","0805","50V","NP0","0.75p","","","LCSC","C519950","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2007161234_YAGEO-CC0805CRNPO9BNR75_C519950.pdf"
"GJM0335C1ER80WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","C0G","0.8p","","","LCSC","C408126","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410010301_Murata-Electronics-GJM0335C1ER80WB01D_C408126.pdf"
"CQ0201ARNPO8BNR80","YAGEO","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","25V","NP0","0.8p","","","LCSC","C2205245","Datasheet","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-CQ0201ARNPO8BNR80_C2205245.pdf"
"GRM0335C1HR80BA01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0201","footprints/capacitor.PcbLib","0201","50V","C0G","0.8p","","","LCSC","C161450","Datasheet","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GRM0335C1HR80BA01D_C161450.pdf"
"GJM1555C1HR80WB01D","Murata Electronics","__template_cap","symbols/capacitor.SchLib","C0402","footprints/capacitor.PcbLib","0402","50V","C0G","0.8p","","","LCSC","C88902","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-GJM1555C1HR80WB01D_C88902.pdf"
