"Manufacturer Part Number","Manufacturer","SymbolName","SymbolLibrary","FootprintName","FootprintLibrary","Package","Z @ 100 MHz","DCR (mOhms)","Current Rating (mA)","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","ComponentLink1Description","ComponentLink1URL"
"CBG100505U102T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","1600","25","","","LCSC","C124090","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U102T_C124090.pdf"
"SCBG100505U801T","Yanchuang","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","800","1400","50","","","LCSC","C480839","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Yanchuang-SCBG100505U801T_C480839.pdf"
"HZ1005D102TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","1800","50","","","LCSC","C154127","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301511_Sunlord-HZ1005D102TF_C154127.pdf"
"FCM1005KF-102T00","TAI-TECH","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","1200","50","","","LCSC","C155041","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009171306_TAI-TECH-FCM1005KF-102T00_C155041.pdf"
"HZ1005K152TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1500","2200","50","","","LCSC","C185874","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-HZ1005K152TF_C185874.pdf"
"SZ1005K182TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1800","1800","50","","","LCSC","C89917","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301641_Sunlord-SZ1005K182TF_C89917.pdf"
"MU1005-601Y","BOURNS","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","600","800","80","","","LCSC","C139469","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_BOURNS-MU1005-601Y_C139469.pdf"
"BLM15BA050SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","5","100","100","","","LCSC","C160969","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081533_Murata-Electronics-BLM15BA050SN1D_C160969.pdf"
"MMZ1005F470CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","47","600","100","","","LCSC","C275419","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005F470CT000_C275419.pdf"
"MMZ1005F560CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","56","700","100","","","LCSC","C275421","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005F560CT000_C275421.pdf"
"FCM1005KF-121T01","TAI-TECH","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","120","300","100","","","LCSC","C155042","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009171306_TAI-TECH-FCM1005KF-121T01_C155042.pdf"
"HZ1005K181TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","180","1000","100","","","LCSC","C185883","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-HZ1005K181TF_C185883.pdf"
"CBG100505U201T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","200","600","100","","","LCSC","C668228","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U201T_C668228.pdf"
"CBG100505U221T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","220","700","100","","","LCSC","C92617","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U221T_C92617.pdf"
"MU1005-221Y","BOURNS","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","220","400","100","","","LCSC","C139466","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_BOURNS-MU1005-221Y_C139466.pdf"
"GZ1005D301TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","300","500","100","","","LCSC","C96681","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D301TF_C96681.pdf"
"CBG100505U301T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","300","800","100","","","LCSC","C124091","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U301T_C124091.pdf"
"HZ1005D301TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","300","1000","100","","","LCSC","C185881","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-HZ1005D301TF_C185881.pdf"
"MGGB1005M301HT-LF","microgate","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","300","650","100","","","LCSC","C281133","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_microgate-MGGB1005M301HT-LF_C281133.pdf"
"MLB1005F-421T","Meled","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","420","600","100","","","LCSC","C2844541","Datasheet","https://datasheet.lcsc.com/lcsc/2306021142_MetalLions-MLB1005F-421T_C2844541.pdf"
"FCM1005KF-471T01","TAI-TECH","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","470","650","100","","","LCSC","C155047","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009171306_TAI-TECH-FCM1005KF-471T01_C155047.pdf"
"HZ1005K471TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","470","1300","100","","","LCSC","C185885","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-HZ1005K471TF_C185885.pdf"
"GZ1005D501TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","500","800","100","","","LCSC","C96683","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D501TF_C96683.pdf"
"CBG100505U501T","FH (Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","500","1100","100","","","LCSC","C2928139","Datasheet","https://datasheet.lcsc.com/lcsc/2201121330_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U501T_C2928139.pdf"
"GZ1005D601TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","600","900","100","","","LCSC","C14182","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D601TF_C14182.pdf"
"CBG100505U601T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","600","1300","100","","","LCSC","C92618","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U601T_C92618.pdf"
"FCM1005KF-601T01","TAI-TECH","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","600","800","100","","","LCSC","C127285","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009171134_TAI-TECH-FCM1005KF-601T01_C127285.pdf"
"MGGB1005M601HT-LF","microgate","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","600","1000","100","","","LCSC","C281136","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_microgate-MGGB1005M601HT-LF_C281136.pdf"
"MLB1005F-751T","Meled","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","750","1000","100","","","LCSC","C2844544","Datasheet","https://datasheet.lcsc.com/lcsc/2306021142_MetalLions-MLB1005F-751T_C2844544.pdf"
"GZ1005D102TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","1200","100","","","LCSC","C32472","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D102TF_C32472.pdf"
"FCM1005KF-102T01","TAI-TECH","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","1300","100","","","LCSC","C356929","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009171137_TAI-TECH-FCM1005KF-102T01_C356929.pdf"
"GZ1005D152TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1500","1600","100","","","LCSC","C89920","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D152TF_C89920.pdf"
"GZ1005D152CTF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1500","1150","100","","","LCSC","C96680","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D152CTF_C96680.pdf"
"MMZ1005Y152CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1500","1000","100","","","LCSC","C275430","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1810140909_TDK-MMZ1005Y152CT000_C275430.pdf"
"MGGB1005M152HT-LF","microgate","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1500","1400","100","","","LCSC","C281129","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_microgate-MGGB1005M152HT-LF_C281129.pdf"
"BLM15BD182SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1800","1400","100","","","LCSC","C85820","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-BLM15BD182SN1D_C85820.pdf"
"SZ1005K182CTF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1800","1800","100","","","LCSC","C279973","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301641_Sunlord-SZ1005K182CTF_C279973.pdf"
"BLM15EG121SZ1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","120","95","130","","","LCSC","C710337","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-BLM15EG121SZ1D_C710337.pdf"
"CBG100505U101T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","100","500","150","","","LCSC","C139138","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U101T_C139138.pdf"
"CBG100505U121T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","120","500","150","","","LCSC","C92616","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U121T_C92616.pdf"
"MGGB1005M121HT-LF","microgate","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","120","400","150","","","LCSC","C281128","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_microgate-MGGB1005M121HT-LF_C281128.pdf"
"CBG100505U151T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","150","550","150","","","LCSC","C160612","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U151T_C160612.pdf"
"MGGB1005M181HT-LF","microgate","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","180","500","150","","","LCSC","C281130","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_microgate-MGGB1005M181HT-LF_C281130.pdf"
"HCB1005KF-181T15","TAI-TECH","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","180","150","150","","","LCSC","C356955","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2109061830_TAI-TECH-HCB1005KF-181T15_C356955.pdf"
"GZ1005D221TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","220","450","150","","","LCSC","C89919","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D221TF_C89919.pdf"
"GZ1005D751CTF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","750","650","150","","","LCSC","C98269","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D751CTF_C98269.pdf"
"GZ1005D102CTF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","700","150","","","LCSC","C96679","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D102CTF_C96679.pdf"
"MMZ1005A222ET000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","2200","2200","150","","","LCSC","C275411","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410010402_TDK-MMZ1005A222ET000_C275411.pdf"
"MMZ1005F330CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","33","500","200","","","LCSC","C275418","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005F330CT000_C275418.pdf"
"SZ1005F470TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","47","600","200","","","LCSC","C92628","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301641_Sunlord-SZ1005F470TF_C92628.pdf"
"GZ1005D600TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","60","300","200","","","LCSC","C23478","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D600TF_C23478.pdf"
"CBG100505U600T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","60","350","200","","","LCSC","C92615","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBG100505U600T_C92615.pdf"
"GZ1005U700TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","70","300","200","","","LCSC","C60113","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005U700TF_C60113.pdf"
"BLM15GA750SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","75","1300","200","","","LCSC","C113009","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1811081516_Murata-Electronics-BLM15GA750SN1D_C113009.pdf"
"BLM15BA750SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","75","800","200","","","LCSC","C701308","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009291136_Murata-Electronics-BLM15BA750SN1D_C701308.pdf"
"MLB1005F-800T","Meled","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","80","350","200","","","LCSC","C2844533","Datasheet","https://datasheet.lcsc.com/lcsc/2306021142_MetalLions-MLB1005F-800T_C2844533.pdf"
"GZ1005D121TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","120","400","200","","","LCSC","C38480","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D121TF_C38480.pdf"
"MMZ1005F121ET000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","120","1500","200","","","LCSC","C89458","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1809051316_TDK-MMZ1005F121ET000_C89458.pdf"
"BLM15BB221SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","220","800","200","","","LCSC","C85818","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-BLM15BB221SN1D_C85818.pdf"
"SZ1005K221TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","220","700","200","","","LCSC","C96984","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301641_Sunlord-SZ1005K221TF_C96984.pdf"
"FCM1005KF-221T02","TAI-TECH","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","220","400","200","","","LCSC","C525665","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009171442_TAI-TECH-FCM1005KF-221T02_C525665.pdf"
"GZ1005E241TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","240","500","200","","","LCSC","C279864","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005E241TF_C279864.pdf"
"MMZ1005D241CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","240","900","200","","","LCSC","C524456","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005D241CT000_C524456.pdf"
"EBMS100505A301","HYHONGYEX","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","300","800","200","","","LCSC","C963841","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_HYHONGYEX-EBMS100505A301_C963841.pdf"
"BLM15BD471SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","470","600","200","","","LCSC","C77600","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-BLM15BD471SN1D_C77600.pdf"
"BLM15GG471SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","470","1300","200","","","LCSC","C88964","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-BLM15GG471SN1D_C88964.pdf"
"CBW100505U501T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","500","650","200","","","LCSC","C124084","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBW100505U501T_C124084.pdf"
"CBW100505U601T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","600","700","200","","","LCSC","C124083","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410010301_FH--Guangdong-Fenghua-Advanced-Tech-CBW100505U601T_C124083.pdf"
"GBD100505PGA601N","Gotrend Tech","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","600","1000","200","","","LCSC","C226163","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Gotrend-Tech-GBD100505PGA601N_C226163.pdf"
"MMZ1005B601CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","600","850","200","","","LCSC","C275413","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410010332_TDK-MMZ1005B601CT000_C275413.pdf"
"BLM15BD601SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","600","650","200","","","LCSC","C337875","Datasheet","https://datasheet.lcsc.com/lcsc/2012071938_Murata-Electronics-BLM15BD601SN1D_C337875.pdf"
"CBW100505U801T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","800","900","200","","","LCSC","C316431","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2410010404_FH--Guangdong-Fenghua-Advanced-Tech-CBW100505U801T_C316431.pdf"
"MMZ1005S102CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","750","200","","","LCSC","C76803","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005S102CT000_C76803.pdf"
"BLM15BD102SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","900","200","","","LCSC","C85819","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-BLM15BD102SN1D_C85819.pdf"
"CBW100505U102T","FH(Guangdong Fenghua Advanced Tech)","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","1000","200","","","LCSC","C394453","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-CBW100505U102T_C394453.pdf"
"MMZ1005Y102CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","700","200","","","LCSC","C275428","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005Y102CT000_C275428.pdf"
"SZ1005K102CTF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1000","1200","200","","","LCSC","C316348","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301641_Sunlord-SZ1005K102CTF_C316348.pdf"
"BLM15HD182SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1800","2200","200","","","LCSC","C76888","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-BLM15HD182SN1D_C76888.pdf"
"MMZ1005A182ET000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1800","2100","200","","","LCSC","C250446","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/1810262207_TDK-MMZ1005A182ET000_C250446.pdf"
"GHB1005HF-182T02","TAI-TECH","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1800","2000","200","","","LCSC","C356950","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2009171137_TAI-TECH-GHB1005HF-182T02_C356950.pdf"
"MMZ1005S182ET000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1800","1500","200","","","LCSC","C694571","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2105241314_TDK-MMZ1005S182ET000_C694571.pdf"
"MMZ1005A152ET000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","1500","1600","230","","","LCSC","C76802","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005A152ET000_C76802.pdf"
"MMZ1005F750ET000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","75","1000","250","","","LCSC","C275422","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005F750ET000_C275422.pdf"
"BLM15HB221SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","220","1000","250","","","LCSC","C88966","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-BLM15HB221SN1D_C88966.pdf"
"HPZ1005U221-R70TF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","220","250","250","","","LCSC","C154130","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-HPZ1005U221-R70TF_C154130.pdf"
"BLM15BC241SN1D","Murata Electronics","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","240","700","250","","","LCSC","C88962","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_Murata-Electronics-BLM15BC241SN1D_C88962.pdf"
"MMZ1005Y301CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","300","380","250","","","LCSC","C275431","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005Y301CT000_C275431.pdf"
"MMZ1005Y471CT000","TDK","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","470","470","250","","","LCSC","C87551","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2304140030_TDK-MMZ1005Y471CT000_C87551.pdf"
"GZ1005D471CTF","Sunlord","__template_fb","symbols/inductor.SchLib","FB0402","footprints/inductor.PcbLib","0402","470","450","250","","","LCSC","C316428","Datasheet","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2310301640_Sunlord-GZ1005D471CTF_C316428.pdf"
